十进制                二进制                十六进制
0                   0000 0000             0x00
167                 1010 0111             0xA7     
62                  0011 1110             0x3E
188                 1011 1100             0xBC
7+3*16=55           0011 0111             0x37
8+8*16=136          1000 1000             0x88
3+15*16=243         1111 0011             0xF3
2+5*16=82           0101 0010             0x52
12+10*16=172        1010 1100             0xAC
7+16*14=231         1110 0111             0xE7

all ac
